scenario,adapter_radius_angstrom,internal_cutoff_angstrom,case,spacing_angstrom,energy_ev,electrostatic_energy_ev,first_region_charge_e
adapter10_internal10,10.0,10.0,total_charge,7.0,-26650.692997655908,0.08726869073776597,-0.17841948923266837
adapter10_internal10,10.0,10.0,neutral_regional,2.5,-26782.66097700988,-0.2988341342201153,2.0816681711721685e-17
adapter10_internal10,10.0,10.0,neutral_regional,3.0,-26779.404023619154,-0.2157323716873751,-2.0816681711721685e-17
adapter10_internal10,10.0,10.0,neutral_regional,3.5,-26778.317302071002,-0.23301039877600846,0.0
adapter10_internal10,10.0,10.0,neutral_regional,4.0,-26762.216108875433,-0.21910051611426085,4.163336342344337e-17
adapter10_internal10,10.0,10.0,neutral_regional,4.5,-26750.081469660538,-0.18148853157829156,-2.7755575615628914e-17
adapter10_internal10,10.0,10.0,neutral_regional,5.0,-26723.168644562058,-0.05802800784929255,9.71445146547012e-17
adapter10_internal10,10.0,10.0,neutral_regional,5.5,-26686.915285455783,-0.11530614583154836,-2.7755575615628914e-17
adapter10_internal10,10.0,10.0,neutral_regional,6.0,-26658.492440138383,-0.11664014473114376,-7.632783294297951e-17
adapter10_internal10,10.0,10.0,neutral_regional,6.5,-26645.239412214563,-0.13367704980141884,-1.457167719820518e-16
adapter10_internal10,10.0,10.0,neutral_regional,7.0,-26650.94837208457,-0.04696961190966911,-8.326672684688674e-17
adapter10_internal10,10.0,10.0,ionic_regional,2.5,-26781.81548980359,0.6880562676449243,1.0
adapter10_internal10,10.0,10.0,ionic_regional,3.0,-26777.930647434947,1.0291814950198408,1.0
adapter10_internal10,10.0,10.0,ionic_regional,3.5,-26776.35355570006,1.2138292933300463,1.0
adapter10_internal10,10.0,10.0,ionic_regional,4.0,-26760.340713833248,1.4211792519565072,1.0
adapter10_internal10,10.0,10.0,ionic_regional,4.5,-26748.271655049146,1.7020489192111194,0.9999999999999998
adapter10_internal10,10.0,10.0,ionic_regional,5.0,-26721.381499734827,1.9472615341731674,1.0
adapter10_internal10,10.0,10.0,ionic_regional,5.5,-26684.85464121439,1.992881951331097,1.0
adapter10_internal10,10.0,10.0,ionic_regional,6.0,-26656.533807636504,2.1840340575994728,1.0000000000000002
adapter10_internal10,10.0,10.0,ionic_regional,6.5,-26643.34267978946,2.379245719355738,1.0000000000000002
adapter10_internal10,10.0,10.0,ionic_regional,7.0,-26649.371041196548,2.611980944743909,1.0
